,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Total Assets,Investments And Advances,Held To Maturity Securities,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Receivables,Other Receivables,Accounts Receivable,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold
2024-12-31,2192.867645,250.964452,3288.943829,5481.811474,0.0,186649.0,127566.0,347145.0,146174.0,16.0,160512.0,18608.0,352182.0,181066.0,1946.0,179120.0,0.0,-12176.0,-12176.0,111463.0,214198.0,60817.0,27744.0,9136.0,18608.0,1748779.0,16335.0,0.0,0.0,173078.0,16.0,173062.0,13571.0,13571.0,13571.0,0.0,0.0,1929845.0,480781.0,234745.0,50870.0,35063.0,0.0,32946.0,7779.0,25167.0,19433.0,0.0,19433.0,0.0,19433.0,0.0,0.0,0.0,42356.0,19328.0,23028.0,160103.0,203361.0,37080.0,308691.0
2023-12-31,1882.948892,284.564527,3598.862582,5481.811474,0.0,219471.0,132604.0,385739.0,152052.0,19.0,166287.0,19448.0,393304.0,187443.0,1708.0,185735.0,0.0,-11580.0,-11580.0,92960.0,201136.0,60555.0,28584.0,9136.0,19448.0,1745025.0,18495.0,0.0,0.0,207588.0,19.0,207569.0,11883.0,11883.0,11883.0,0.0,0.0,1932468.0,477519.0,262708.0,54653.0,34765.0,10248.0,33683.0,8508.0,25175.0,18236.0,0.0,18236.0,0.0,18236.0,0.0,0.0,0.0,53724.0,19250.0,34474.0,125393.0,237219.0,33026.0,317675.0
2022-12-31,1648.007022,353.564532,3833.804452,5481.811474,36213.0,195392.0,125126.0,356149.0,144574.0,22.0,160779.0,19448.0,355075.0,182213.0,1986.0,180227.0,-429.0,-13362.0,-13362.0,82853.0,187968.0,60319.0,28584.0,9136.0,19448.0,1698807.0,20067.0,0.0,0.0,174870.0,22.0,174848.0,20522.0,20522.0,20522.0,69056.0,69056.0,1881020.0,534290.0,297059.0,27835.0,86133.0,9669.0,35653.0,10480.0,25173.0,17977.0,0.0,17977.0,0.0,17977.0,0.0,0.0,0.0,44363.0,17247.0,27116.0,113594.0,159157.0,34596.0,227193.0
2021-12-31,1596.009977,353.564541,3885.801497,5481.811474,0.0,173907.0,133969.0,341430.0,154026.0,26.0,167549.0,20057.0,348269.0,190110.0,2504.0,187606.0,-646.0,-1702.0,-1702.0,79757.0,180322.0,60196.0,29193.0,9136.0,20057.0,1757958.0,9424.0,2787.0,2787.0,160689.0,26.0,160663.0,13218.0,13218.0,13218.0,70957.0,70957.0,1948068.0,597113.0,272022.0,37214.0,102437.0,8196.0,33580.0,8400.0,25180.0,18558.0,-12679.0,18558.0,2597.0,18558.0,7420.0,9442.0,1759.0,39305.0,16524.0,22781.0,177244.0,234230.0,24616.0,300453.0
